physical_cell,execution_count,cell_type,stage,classification,scientific_role,inputs,outputs,frozen_artifacts,output_blocks,source_lines,source_sha256,notes
279,,code,Stage18,canonical,CELL 62W — FORCE STALE NOTEBOOK KERNEL REPLACEMENT | The cu126 installation is already VERIFIED. | This cell: | - installs nothing,,,,1,48,971eaf7bb018487826739bbc653bc6d9cf2ce3ebb8e4c5e79319c2aefed2e2dc,Physical 1-based order is canonical; execution_count is historical evidence only.
280,1,code,Stage18,recovery,CELL 62X — FINAL POST-RECONNECT CUDA VERIFICATION | NO training | NO validation inference | NO holdout access,,,,1,71,801a5714f74ed3b2821f86d5dc0ce1153a78af3564e745f903367b0ccf060f94,Physical 1-based order is canonical; execution_count is historical evidence only.
281,4,code,Stage18,packaging,STAGE 18.3I — FREEZE EDGE-ONLY MLP DEVELOPMENT RESULTS | + GIT ANCHOR | UPSTREAM: | Stage 18.3H EdgeOnlyMLP development COMPLETE,,\n,,3,2009,648d3160851eb27985c2e4a596f71a3c25f3ffacfee7c9b3c2f5086bf05f3cce,Physical 1-based order is canonical; execution_count is historical evidence only.
282,5,code,Stage18,canonical,STAGE 18.3J — LOCKED EDGE-AWARE DIRECTED GRAPH TRANSFORMER | THREE-SEED DEVELOPMENT TRAINING | FROZEN GIT HEAD: | 653d3bdcc78c5416575ccddfb670bca9c829eed8,,\n,,1,4083,853d63ea824bb934f251d21b6cf850a8545bbbe21c6db6e093a6e577a99a9d29,Physical 1-based order is canonical; execution_count is historical evidence only.
283,6,code,Stage18,packaging,STAGE 18.3K — FREEZE GRAPH TRANSFORMER DEVELOPMENT RESULTS | + CHECKPOINTS + GIT ANCHOR | UPSTREAM: | Stage 18.3J Graph Transformer development COMPLETE,,\n,,3,2212,1d4d44280ae497e6160286f46c64f06dec53fa01cfe6c2dcc820e63e0870db2d,Physical 1-based order is canonical; execution_count is historical evidence only.
284,7,code,Stage18,canonical,STAGE 18.3L0 — FINAL PRE-HOLDOUT SEAL AUDIT | PURPOSE: | Inspect ONLY already-frozen artifacts required to construct | the single irreversible graph-holdout evaluation cell.,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv; \nRaw source path discovery — NO FILE READ; Expected exactly one 02-20 source CSV.\n,,,1,769,9205c93e942e7fb978cb1bdb33f7838c7cd2a1a699ebfaab67025c0d9f8fae0d,Physical 1-based order is canonical; execution_count is historical evidence only.
285,8,code,Stage18,repair,STAGE 18.3L — SINGLE AUTHORIZED GRAPH-SPECIFIC HOLDOUT OPENING | THIS IS THE IRREVERSIBLE FINAL GRAPH HOLDOUT EVALUATION. | FROZEN HOLDOUT: | 2018-02-20 11:00:00 through 12:59:59,/kaggle/input/datasets/solarmainframe/; Raw source is missing frozen required columns:\n; \nSingle raw-source pass complete.,\n,,1,6091,b3b337aca0202f4d0abf9de32ca9f8da8e2c7a359c871185bddd49f5708adb11,Physical 1-based order is canonical; execution_count is historical evidence only.
286,9,code,Stage18,packaging,STAGE 18.3M — FREEZE FINAL GRAPH HOLDOUT EVIDENCE | + PERMANENT SCIENTIFIC CLOSURE + GIT ANCHOR | UPSTREAM: | Stage 18.3L single authorized holdout opening COMPLETE,,\n,,3,2624,49a13d91a440efd07739f8f0319552239ecb56a6347cea2aaa2539fa8e9b7ce6,Physical 1-based order is canonical; execution_count is historical evidence only.
287,10,code,Stage18,canonical,STAGE 18.3N — SCIENTIFIC SYNTHESIS AND FINAL | GRAPH-EXPERIMENT CLOSURE | INPUT: | ONLY Git-anchored frozen evidence.,,\n,,3,2119,54b661dbc8c686998169158f09df9709d0f1d6334b2404bda9247b2f6b6d613a,Physical 1-based order is canonical; execution_count is historical evidence only.
288,11,code,Stage18,canonical,STAGE 18.4 — OVERALL REPRESENTATION-FEASIBILITY SYNTHESIS | INPUT: | ONLY Git-anchored Stage 18 closure evidence: | Stage 18.1 Temporal / MTemporal,\nFrozen source evidence,\n,,3,2345,07ac27485cdd131a21fc38671e7b4937d847fb3bb32eda83d89505f935c4b106,Physical 1-based order is canonical; execution_count is historical evidence only.
289,12,code,Stage18,canonical,STAGE 18.5 — MANUSCRIPT INTEGRATION | PURPOSE: | Convert the frozen Stage 18.4 representation-feasibility | synthesis into manuscript-ready academic text.,,\n,docs/STAGE18_MANUSCRIPT_INTEGRATION.md; results/stage18_representation_feasibility_checkpoint/,3,1450,d5212555108433c657d9c73f57186da7f705f7ae6f192ce4db49537cfe65af74,Physical 1-based order is canonical; execution_count is historical evidence only.
290,13,code,Stage19,canonical,STAGE 19.0 — MTEMPORAL-IDS PROTOCOL LOCK | Precommit the complete Multi-Scale Temporal Transformer | experiment BEFORE: | - reading raw dataset rows,STAGE 19.1 — raw TRAIN/VALIDATION source audit:,\n,,3,1994,7347ad8bfa68f27468e1f866a1b12044012f593d89439b4719713d1d139cc3fd,Physical 1-based order is canonical; execution_count is historical evidence only.
291,14,code,Stage19,canonical,"STAGE 19.1 — MTEMPORAL TRAIN/VALIDATION SOURCE AUDIT | AUTHORIZED ACCESS: | TRAIN: | 02-14, 02-15, 02-16,",/kaggle/input/datasets/solarmainframe/ids-intrusion-csv; stage19_1_source_audit_result.json,\n,,2,3195,c71c0ef0ee768fc67047c11e59141e4259339888dabc885cfd47144a82a2c626,Physical 1-based order is canonical; execution_count is historical evidence only.
292,1,code,Stage19,canonical,STAGE 19.1A — TIMESTAMP FAILURE DIAGNOSTIC | TRAIN FILE ONLY: 02-16-2018.csv | FAILING CHUNK ONLY: chunk 10 | No labels.,/kaggle/input/datasets/solarmainframe/,,,1,390,4b116d871290d775eeee3e609690e1ab4dea74624054fa28994941853d2c28fb,Physical 1-based order is canonical; execution_count is historical evidence only.
293,4,code,Stage19,repair,STAGE 19.1B — REPAIRED MTEMPORAL DEVELOPMENT SOURCE AUDIT | Repair: | Some raw IDS2018 CSV files contain repeated header rows | embedded inside the data stream.,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv; stage19_1_source_audit_result.json,\n,,3,2890,0bebc1ff6ce9bae99dad8b855ba6fe086565b95eb348772fd85be274e6e5aaf4,Physical 1-based order is canonical; execution_count is historical evidence only.
294,3,code,Stage19,recovery,STAGE 19 RECOVERY — RESTORE KAGGLE WORKING REPOSITORY | This does NOT: | - read any IDS2018 data | - touch TRAIN / VALIDATION,\nDataset access during recovery,,,1,448,0766b407626908e0f964ce49b019cd9aa64c15c4f9d6d6d969820f33604cfd37,Physical 1-based order is canonical; execution_count is historical evidence only.
295,6,code,Stage19,canonical,STAGE 19.1C0 — STRICT TIMESTAMP ANOMALY DIAGNOSTIC | Reads ONLY Timestamp from: | TRAIN 02-14-2018.csv | TRAIN 02-22-2018.csv,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv,,,2,510,a6603127ba9a1f25d66b43612cf5ea2d4a3034a20a8159b8ccaa7e1f1c864dc9,Physical 1-based order is canonical; execution_count is historical evidence only.
296,3,code,Stage19,canonical,STAGE 19.1C0 — STRICT TIMESTAMP ANOMALY DIAGNOSTIC | CORRECTED FOR KAGGLE PANDAS | Reads ONLY Timestamp from: | TRAIN 02-14-2018.csv,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv,,,1,606,5816c8e55baf89b28155a3e0234a99b8fd80a0694bb4786c3f5f98f97ef8103a,Physical 1-based order is canonical; execution_count is historical evidence only.
297,4,code,Stage19,repair,STAGE 19.1C — STRICT CHRONOLOGY REPAIR + SUPERSEDING AUDIT | The earlier Stage 19.1 audit at commit ccb988... is preserved | in Git but its temporal counts are INVALID because 14+ raw | timestamps may carry erroneous 1970 calendar dates.,stage19_1_source_audit_result.json; /kaggle/input/datasets/solarmainframe/ids-intrusion-csv; Replace year/month/day with the source-file,\n,,3,2470,9620d43f24368bd5983feae86a0ed2432f4130f1cbcda482a1ba09a979541a41,Physical 1-based order is canonical; execution_count is historical evidence only.
298,2,code,Stage19,recovery,CELL 75R — SELF-HEALING STAGE 19 REPOSITORY RESTORE | Restores the exact Git state needed by Stage 19.1C. | DATA ACCESS: | TRAIN: 0 rows,stage19_1_source_audit_result.json; /kaggle/input/datasets/solarmainframe/ids-intrusion-csv; \nDataset rows read during recovery: 0,,,1,397,48cba6795762b2bd6df997f8f5189dbd8dac4767ce636d78dd005cad63b8670f,Physical 1-based order is canonical; execution_count is historical evidence only.
299,5,code,Stage19,canonical,CELL 76 | STAGE 19.2A — DEVELOPMENT ONE-SECOND TEMPORAL MATERIALIZATION | Materialize the authoritative one-second representation for | Stage 19 MTemporal-IDS using TRAIN + VALIDATION only.,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv,\n,,3,3449,cae09b8aa7bd2ed7c684a8510bea1a591520a2ec4c6b95bc00a75b4d1ff6e9e4,Physical 1-based order is canonical; execution_count is historical evidence only.
300,6,code,Stage19,canonical,CELL 77 | STAGE 19.2B — TRAIN-ONLY PREPROCESSING + | MULTISCALE TEMPORAL INDEX FREEZE | NO MODEL TRAINING.,,\n,,3,3719,a86fb322088990730fb92b821571e3374e82cd8e05c9dfc6fcbf412c6eac6986,Physical 1-based order is canonical; execution_count is historical evidence only.
301,3,code,Stage19,canonical,CELL 78 | STAGE 19.3 — SINGLE-SCALE TEMPORAL TRANSFORMER CONTROL | Train the frozen fine-scale temporal control: | SingleScaleTemporalTransformer,,,,9,4729,51ab742793c572f176c638641f902d743dd516e91e311ac7b4bdb6eb2772b9b8,Physical 1-based order is canonical; execution_count is historical evidence only.
302,2,code,Stage19,canonical,CELL 78A — CUDA / PYTORCH COMPATIBILITY DIAGNOSTIC | NO dataset access | NO Git changes | NO model training,,,,1,220,1f52883f439e692bb4a05f682b3cdf4e84de6c12314680ff28d45a5a2a71798b,Physical 1-based order is canonical; execution_count is historical evidence only.
303,9,code,Stage19,repair,CELL 78B — INSTALL P100-COMPATIBLE PYTORCH CUDA BUILD | RUNTIME REPAIR ONLY. | Current: | torch 2.10.0 + CUDA 12.8,https://download.pytorch.org/whl/cu126; A KERNEL / SESSION RESTART IS REQUIRED before verification.,,,1,105,edd8cb72736ed02ee0b924f598b27b3efbe4202ca00f99b6ae9dca7b1d0c28ef,Physical 1-based order is canonical; execution_count is historical evidence only.
304,10,code,Stage19,canonical,CELL 78C — P100 / PYTORCH CUDA 12.6 VERIFICATION | Run ONLY AFTER restarting the Kaggle kernel/session. | NO dataset access | NO Git changes,,,,2,468,507fd946e70f795a7748049a21ad32c1dd1432b7d77b76014e766f9345ed2721,Physical 1-based order is canonical; execution_count is historical evidence only.
305,,code,Stage19,repair,CELL 78B2 — INSTALL P100-COMPATIBLE TORCH + KERNEL-ONLY RESTART | IMPORTANT: | - DO NOT manually restart the Kaggle Session afterward. | - This cell terminates ONLY the Python kernel process.,https://download.pytorch.org/whl/cu126,,,1,261,f87fbb44388b961024eccf784d79f3fa3bbaf968d53340f880bf807905c9060b,Physical 1-based order is canonical; execution_count is historical evidence only.
306,1,code,Stage19,recovery,CELL 78C2 — VERIFY P100 + PYTORCH CU126 AFTER KERNEL RECONNECT | NO dataset access | NO Git changes | NO model training,,,,1,647,f145c3c5b8ea1bcc9b5b543e389915a5cddd394bed24229cd6a4efa094e348f6,Physical 1-based order is canonical; execution_count is historical evidence only.
307,4,code,Stage19,canonical,CELL 79 | STAGE 19.4 — MTEMPORAL-IDS MULTISCALE DEVELOPMENT TRAINING | Actual Stage-19 multitemporal model. | REPRESENTATION — ALREADY FROZEN,,\n,,9,5260,3f35b06c8e46099e3db5025c59057476c230a1098df27aa0c970d66235e7e308,Physical 1-based order is canonical; execution_count is historical evidence only.
308,5,code,Stage19,canonical,CELL 80 | STAGE 19.5 — VALIDATION THRESHOLD SELECTION | AND DEVELOPMENT OPERATING-POINT FREEZE | Select operating thresholds for BOTH already-frozen,,,,3,3044,10cf21a552eb9c4426c94feea2485f346cb01df9e5d4cda1fcc641f67cc2fd8c,Physical 1-based order is canonical; execution_count is historical evidence only.
309,6,code,Stage19,canonical,CELL 81 | STAGE 19.6A — ONE-TIME CHRONOLOGICAL HOLDOUT CAPTURE | THIS IS THE IRREVERSIBLE RAW HOLDOUT OPENING. | Raw files:,/kaggle/input/datasets/; stage19_6a_holdout_source_audit.csv; \nTimestamp / source hygiene,\n,,3,3049,e0b2196ed1306f0f5917ff786b15895d463ab1489cc4f717e71133b3303afe87,Physical 1-based order is canonical; execution_count is historical evidence only.
310,7,code,Stage19,canonical,CELL 82 | STAGE 19.6B — FROZEN TEMPORAL HOLDOUT EVALUATION | RAW HOLDOUT ACCESS: PROHIBITED. | INPUT:,stage19_6a_holdout_source_audit.csv,,,15,5169,bd09b1f8eb9183d3971e673bf0f14a0061f70f8954af12167a9a3c1e1d6b6904,Physical 1-based order is canonical; execution_count is historical evidence only.
311,8,code,Stage19,canonical,CELL 83 | STAGE 19.7 — TEMPORAL EXPERIMENT SCIENTIFIC CLOSURE | NO RAW DATA ACCESS | NO HOLDOUT INFERENCE,,\n,,3,2997,5f5116d43a74d211d18a4284173f50f9fa4c77581a18e5d943b0947f27627237,Physical 1-based order is canonical; execution_count is historical evidence only.
312,9,code,Stage20,canonical,"CELL 84 | STAGE 20.0 — AUTHENTIC PACKET-IMAGE / ViT PROTOCOL LOCK | Freeze the source, split, representation admissibility rules, | and holdout boundary BEFORE packet-level exploration.",https://www.unb.ca/cic/datasets/ids-2017.html; \nDataset:,\n,,3,1708,f05466e7b8bec34500dedee455967735ec24c4b0a9bdfb82311ef5b38823d52a,Physical 1-based order is canonical; execution_count is historical evidence only.
313,11,code,Stage20,canonical,CELL 85 | STAGE 20.1A — CICIDS2017 MOUNTED-SOURCE + SCHEMA PREFLIGHT | Determine whether the current Kaggle session contains | sufficient authentic CICIDS2017 assets to proceed with,/kaggle/input; files were detected under /kaggle/input.; stage20_1a_source_schema_preflight.json; STAGE 20.1A — SOURCE / SCHEMA PREFLIGHT COMPLETE; \nSOURCE REQUIREMENT NOT YET SATISFIED.,,,1,1849,7b01a4d7f615f77f15a213809a5893fc7185e9275789a4f3c8dbf6c6fbaa181e,Physical 1-based order is canonical; execution_count is historical evidence only.
314,12,code,Stage20,canonical,CELL 85B | STAGE 20.1A2 — SOURCE ACQUISITION FEASIBILITY PREFLIGHT | NO PCAP DOWNLOAD | NO LABEL DOWNLOAD,datasets/bvsam/cic-ids-2017/,,,1,1007,424fab15df33d22d3b735d58daa5d0e4663e009d3b52677857d7a1f64b96510f,Physical 1-based order is canonical; execution_count is historical evidence only.
315,13,code,Stage20,repair,CELL 85C | STAGE 20 RUNTIME REPAIR — INSTALL + VERIFY SCAPY | RUNTIME-ONLY REPAIR. | NO:,,,,1,306,8f1d5cf17557d8c96bc7e900fe7a2da50f3da1e3285083f47895006a3c41c6d2,Physical 1-based order is canonical; execution_count is historical evidence only.
316,14,code,Stage20,canonical,CELL 86 | STAGE 20.1B — DEVELOPMENT LABEL ACQUISITION + SCHEMA AUDIT | DOWNLOADS ONLY: | Monday labels,datasets/bvsam/cic-ids-2017/; \n{source_name}; \nSource state,Size mismatch for {destination.name}\n; SHA mismatch for {destination.name}\n,,1,1726,b3816cf2f3f1c0bcc6c49cc696baf27228be2eaf7beb8ba93c0f7132897643ee,Physical 1-based order is canonical; execution_count is historical evidence only.
317,15,code,Stage20,canonical,"CELL 86B | STAGE 20.1B2 — THURSDAY LABEL MIRROR FORENSIC AUDIT | Determine whether the 288,602 NULL-label rows found in the | Thursday-morning Hugging Face Parquet are actually the",\nMorning source SHA:; \nSOURCE-LAYER DEFECT CONFIRMED.,,,1,1132,8c1c61a1184f0c783ed2a8edf672ef532bfb631744ac700407509441ac406457,Physical 1-based order is canonical; execution_count is historical evidence only.
318,16,code,Stage20,canonical,CELL 86C | STAGE 20.1B3 — DEVELOPMENT LABEL HYGIENE + CANONICAL FREEZE | Prove and correct the known CICIDS2017 Thursday-morning | structural-empty-row anomaly WITHOUT arbitrary missing-value,stage20_1b3_source_hygiene_audit.csv; \n{source_name}; \nSource hygiene,\n,,2,2319,8b36d160f138227d5a6e5ce3733f94686e188578a5439bd33c380dc575f1ea47,Physical 1-based order is canonical; execution_count is historical evidence only.
319,17,code,Stage20,repair,CELL 86C-R | STAGE 20.1B3 — LABEL HYGIENE FREEZE — SCHEMA-SAFE REPAIR | REPAIR SCOPE: | Fix ONLY PyArrow batch-schema instability from failed 86C.,stage20_1b3_source_hygiene_audit.csv; \n{source_name}; \nSource hygiene,,,3,2668,5a812af181b2c3a537e68b554fcd1c6fa0a36d4962fbc9e3119f937b26e61f25,Physical 1-based order is canonical; execution_count is historical evidence only.
320,18,code,Stage20,canonical,CELL 87 | STAGE 20.1B4 — ALIGNMENT METADATA SUFFICIENCY AMENDMENT | WHY THIS EXISTS | The Stage 20.1B3 canonical record contains:,stage20_1b3_source_hygiene_audit.csv; \n{source_name},,,2,2732,8a35cf01bc247923005b50c30435c069e8c69ede0ce43d97c01be117be8087b6,Physical 1-based order is canonical; execution_count is historical evidence only.
321,19,code,Stage20,repair,CELL 87A | STAGE 20.1B4A — NEGATIVE FLOW-DURATION FORENSIC AUDIT | Characterize negative CICFlowMeter Flow Duration records | BEFORE deciding whether Flow Duration is safe to use for,\n{source_name},\nLocal outputs:,,1,1350,ccd672ea3c34e9ccbd0b8f1c38bdf5f76072b2bf88212a49b9ed5708414a5f1b,Physical 1-based order is canonical; execution_count is historical evidence only.
322,20,code,Stage20,repair,CELL 87B | STAGE 20.1B4B — NONPOSITIVE FLOW-DURATION ELIGIBILITY AUDIT | Characterize ALL Flow Duration <= 0 records before freezing | packet-to-flow interval eligibility.,\n{source_name},\nLocal outputs:,,1,1489,7d70bb3115bf41c20e5426b619ed818441aacc6d8b10d7dc3c6aeb6bf6853c91,Physical 1-based order is canonical; execution_count is historical evidence only.
323,21,code,Stage20,repair,CELL 87C | STAGE 20.1B4C — TIMESTAMP PRECISION + | TEMPORAL-ENVELOPE AMBIGUITY AUDIT | Determine whether CICIDS2017 labeled-flow timestamps and,PER-SOURCE TIMESTAMP / TUPLE AUDIT; \n{source_name},\nLocal outputs:,,1,1715,001178116d740b80459f7e47e34611f6bd3050316e694daa03bb5501c6ba365d,Physical 1-based order is canonical; execution_count is historical evidence only.
324,22,code,Stage20,canonical,CELL 87D | STAGE 20.1B4D — PACKET-REPRODUCIBLE FLOW-SIGNATURE | LABEL DETERMINISM AUDIT | The previous audit proved that:,\n{source_name}; stage20_1b4d_signature_determinism_by_source.csv; signature and a corrected/relabelled source should,\nLocal outputs:,,1,1715,f55dfd76388791cfdc40c85f8de38187f0b27edbf2c8e2a95865555a6f3c3a7e,Physical 1-based order is canonical; execution_count is historical evidence only.
